DOL_Vehicle_ID,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility,Electric_Range,Base_MSRP,Vehicle_Age,Range_Category,Price_Category,Price_per_Range,EV_Class,High_Range_Flag,Premium_Flag
100139,2018,BYD India,Atto 3,BEV,Eligible,388,1853959,8,High,Premium,4778.24,BEV,1,1
100140,2018,Hyundai EV,Kona EV,BEV,Eligible,258,2438601,8,High,Premium,9451.94,BEV,0,1
100141,2018,Tata Motors,S1 Pro,BEV,Eligible,490,3095875,8,High,Premium,6318.11,BEV,1,1
100142,2018,Ather Energy,450X,BEV,Eligible,368,2314397,8,High,Premium,6289.12,BEV,1,1
100143,2018,Ather Energy,XUV400,BEV,Eligible,197,2396972,8,Medium,Premium,12167.37,BEV,0,1
100144,2018,TVS Motor,S1 Pro,BEV,Eligible,236,4327975,8,Medium,Premium,18338.88,BEV,0,1
100145,2018,Ola Electric,450X,BEV,Eligible,174,4277778,8,Medium,Premium,24584.93,BEV,0,1
100146,2018,Mahindra Electric,XUV400,BEV,Eligible,90,1288349,8,Low,Premium,14314.99,BEV,0,1
100147,2018,TVS Motor,Atto 3,BEV,Not Eligible,381,3874058,8,High,Premium,10168.13,BEV,1,1
100148,2018,MG Motor India,Nexon EV,BEV,Not Eligible,183,1130203,8,Medium,Premium,6175.97,BEV,0,1
100149,2018,TVS Motor,S1 Pro,BEV,Eligible,372,1790695,8,High,Premium,4813.7,BEV,1,1
100150,2018,BYD India,ZS EV,BEV,Not Eligible,130,1398716,8,Medium,Premium,10759.35,BEV,0,1
100151,2018,BYD India,Nexon EV,BEV,Eligible,484,2967801,8,High,Premium,6131.82,BEV,1,1
100152,2018,Tata Motors,Atto 3,BEV,Eligible,450,2854727,8,High,Premium,6343.84,BEV,1,1
100153,2018,Tata Motors,ZS EV,BEV,Eligible,196,1784377,8,Medium,Premium,9103.96,BEV,0,1
100154,2018,Tata Motors,ZS EV,PHEV,Eligible,465,2074737,8,High,Premium,4461.8,PHEV,1,1
100155,2018,TVS Motor,XUV400,BEV,Eligible,330,1896530,8,High,Premium,5747.06,BEV,1,1
100156,2018,Hyundai EV,450X,PHEV,Eligible,256,1854652,8,High,Premium,7244.73,PHEV,0,1
100157,2018,Ola Electric,ZS EV,BEV,Eligible,416,1470451,8,High,Premium,3534.74,BEV,1,1
100158,2018,Hyundai EV,S1 Pro,BEV,Eligible,439,1938896,8,High,Premium,4416.62,BEV,1,1
100159,2018,Hyundai EV,Atto 3,BEV,Eligible,519,3448434,8,High,Premium,6644.38,BEV,1,1
100160,2018,Tata Motors,450X,BEV,Eligible,223,2566471,8,Medium,Premium,11508.84,BEV,0,1
100161,2018,Mahindra Electric,Atto 3,BEV,Eligible,192,2499601,8,Medium,Premium,13018.76,BEV,0,1
100162,2018,Tata Motors,iQube,PHEV,Eligible,438,2259490,8,High,Premium,5158.65,PHEV,1,1
100163,2018,Hyundai EV,ZS EV,BEV,Not Eligible,166,2685910,8,Medium,Premium,16180.18,BEV,0,1
100164,2018,TVS Motor,Nexon EV,BEV,Eligible,402,3502967,8,High,Premium,8713.85,BEV,1,1
100165,2018,TVS Motor,Kona EV,BEV,Eligible,308,4380130,8,High,Premium,14221.2,BEV,1,1
100166,2018,Mahindra Electric,iQube,PHEV,Not Eligible,367,1878039,8,High,Premium,5117.27,PHEV,1,1
100167,2018,Ola Electric,450X,BEV,Not Eligible,477,1668734,8,High,Premium,3498.39,BEV,1,1
100168,2018,BYD India,Nexon EV,BEV,Not Eligible,226,3934735,8,Medium,Premium,17410.33,BEV,0,1
100169,2018,Ola Electric,ZS EV,PHEV,Eligible,382,4068964,8,High,Premium,10651.74,PHEV,1,1
100170,2018,Mahindra Electric,Atto 3,BEV,Eligible,99,1438884,8,Low,Premium,14534.18,BEV,0,1
100171,2018,Ather Energy,S1 Pro,BEV,Eligible,421,2883851,8,High,Premium,6850.0,BEV,1,1
100172,2018,Hyundai EV,Atto 3,BEV,Eligible,288,2632465,8,High,Premium,9140.5,BEV,0,1
100173,2018,TVS Motor,ZS EV,BEV,Eligible,438,1972328,8,High,Premium,4503.03,BEV,1,1
100174,2018,Ola Electric,ZS EV,BEV,Eligible,188,4302337,8,Medium,Premium,22884.77,BEV,0,1
100175,2018,MG Motor India,iQube,BEV,Eligible,435,1088456,8,High,Premium,2502.2,BEV,1,1
100176,2018,Tata Motors,Kona EV,BEV,Eligible,166,1473044,8,Medium,Premium,8873.76,BEV,0,1
100177,2018,Tata Motors,Atto 3,PHEV,Eligible,247,4038145,8,Medium,Premium,16348.77,PHEV,0,1
100178,2018,BYD India,ZS EV,PHEV,Eligible,489,1263476,8,High,Premium,2583.8,PHEV,1,1
100179,2018,TVS Motor,ZS EV,BEV,Eligible,442,4237920,8,High,Premium,9588.05,BEV,1,1
100180,2018,MG Motor India,450X,BEV,Not Eligible,375,3777450,8,High,Premium,10073.2,BEV,1,1
100181,2018,BYD India,iQube,BEV,Not Eligible,177,1608662,8,Medium,Premium,9088.49,BEV,0,1
100182,2018,Ather Energy,iQube,BEV,Eligible,115,4251278,8,Medium,Premium,36967.63,BEV,0,1
100183,2018,Mahindra Electric,Nexon EV,BEV,Eligible,444,2511754,8,High,Premium,5657.1,BEV,1,1
100184,2018,Ather Energy,Nexon EV,BEV,Eligible,96,3838496,8,Low,Premium,39984.33,BEV,0,1
100185,2018,Tata Motors,Atto 3,BEV,Not Eligible,308,2558987,8,High,Premium,8308.4,BEV,1,1
100186,2018,MG Motor India,S1 Pro,BEV,Not Eligible,123,4291418,8,Medium,Premium,34889.58,BEV,0,1
100187,2018,MG Motor India,Nexon EV,BEV,Not Eligible,382,4197291,8,High,Premium,10987.67,BEV,1,1
100188,2018,TVS Motor,Atto 3,BEV,Eligible,294,2920836,8,High,Premium,9934.82,BEV,0,1
100189,2018,MG Motor India,Nexon EV,BEV,Not Eligible,138,2460473,8,Medium,Premium,17829.51,BEV,0,1
100190,2018,TVS Motor,Atto 3,PHEV,Not Eligible,361,3315572,8,High,Premium,9184.41,PHEV,1,1
100191,2018,BYD India,450X,BEV,Not Eligible,450,3339855,8,High,Premium,7421.9,BEV,1,1
100192,2018,MG Motor India,Atto 3,PHEV,Eligible,502,1181570,8,High,Premium,2353.73,PHEV,1,1
100193,2018,Hyundai EV,Atto 3,BEV,Eligible,187,2831451,8,Medium,Premium,15141.45,BEV,0,1
100194,2018,Mahindra Electric,iQube,BEV,Not Eligible,443,1596358,8,High,Premium,3603.52,BEV,1,1
100195,2018,Ather Energy,Kona EV,BEV,Eligible,289,3635264,8,High,Premium,12578.77,BEV,0,1
100196,2018,MG Motor India,Atto 3,BEV,Eligible,113,4171069,8,Medium,Premium,36912.12,BEV,0,1
100197,2018,TVS Motor,iQube,BEV,Eligible,118,3890893,8,Medium,Premium,32973.67,BEV,0,1
100198,2018,Ather Energy,Kona EV,BEV,Eligible,264,3816623,8,High,Premium,14456.91,BEV,0,1
100199,2018,MG Motor India,Kona EV,BEV,Eligible,438,1150195,8,High,Premium,2626.02,BEV,1,1
100200,2018,Mahindra Electric,450X,BEV,Eligible,237,2114449,8,Medium,Premium,8921.73,BEV,0,1
100201,2018,Tata Motors,iQube,BEV,Eligible,152,1297710,8,Medium,Premium,8537.57,BEV,0,1
100202,2018,Ola Electric,XUV400,PHEV,Eligible,140,1731460,8,Medium,Premium,12367.57,PHEV,0,1
100203,2018,TVS Motor,XUV400,PHEV,Not Eligible,305,1079352,8,High,Premium,3538.86,PHEV,1,1
100204,2018,TVS Motor,S1 Pro,BEV,Eligible,389,2252564,8,High,Premium,5790.65,BEV,1,1
100205,2018,Mahindra Electric,ZS EV,BEV,Not Eligible,504,1926553,8,High,Premium,3822.53,BEV,1,1
100206,2018,Ather Energy,Kona EV,PHEV,Eligible,256,3830184,8,High,Premium,14961.66,PHEV,0,1
100207,2018,Ather Energy,XUV400,BEV,Not Eligible,257,3941341,8,High,Premium,15335.96,BEV,0,1
100208,2018,Hyundai EV,450X,BEV,Eligible,168,1615080,8,Medium,Premium,9613.57,BEV,0,1
100209,2018,Mahindra Electric,Nexon EV,BEV,Not Eligible,202,3514235,8,Medium,Premium,17397.2,BEV,0,1
100210,2018,MG Motor India,S1 Pro,BEV,Eligible,119,1226916,8,Medium,Premium,10310.22,BEV,0,1
100211,2018,BYD India,Kona EV,BEV,Eligible,468,4157945,8,High,Premium,8884.5,BEV,1,1
100212,2018,TVS Motor,450X,PHEV,Eligible,160,1025991,8,Medium,Premium,6412.44,PHEV,0,1
100213,2018,Mahindra Electric,ZS EV,BEV,Eligible,119,2110209,8,Medium,Premium,17732.85,BEV,0,1
100214,2018,Tata Motors,Kona EV,BEV,Not Eligible,415,1968199,8,High,Premium,4742.65,BEV,1,1
100215,2018,TVS Motor,Nexon EV,BEV,Eligible,124,1784056,8,Medium,Premium,14387.55,BEV,0,1
100216,2018,Hyundai EV,S1 Pro,BEV,Eligible,314,2522572,8,High,Premium,8033.67,BEV,1,1
100217,2018,MG Motor India,iQube,BEV,Eligible,237,3039686,8,Medium,Premium,12825.68,BEV,0,1
100218,2018,Hyundai EV,450X,BEV,Eligible,374,4121441,8,High,Premium,11019.9,BEV,1,1
100219,2018,Tata Motors,Nexon EV,BEV,Eligible,302,3987201,8,High,Premium,13202.65,BEV,1,1
100220,2018,TVS Motor,Kona EV,BEV,Not Eligible,153,3477640,8,Medium,Premium,22729.67,BEV,0,1
100221,2018,Ola Electric,Atto 3,PHEV,Eligible,357,3928163,8,High,Premium,11003.26,PHEV,1,1
100222,2018,Ola Electric,XUV400,BEV,Eligible,91,3323184,8,Low,Premium,36518.51,BEV,0,1
100223,2018,MG Motor India,iQube,BEV,Not Eligible,385,4476511,8,High,Premium,11627.3,BEV,1,1
100224,2018,Mahindra Electric,XUV400,BEV,Not Eligible,86,1743804,8,Low,Premium,20276.79,BEV,0,1
100225,2018,Mahindra Electric,ZS EV,BEV,Not Eligible,509,4189825,8,High,Premium,8231.48,BEV,1,1
100226,2018,Tata Motors,Atto 3,BEV,Eligible,364,2286652,8,High,Premium,6282.01,BEV,1,1
100227,2018,BYD India,Kona EV,BEV,Eligible,106,3770096,8,Medium,Premium,35566.94,BEV,0,1
100228,2018,Ather Energy,450X,PHEV,Eligible,436,4467546,8,High,Premium,10246.67,PHEV,1,1
100229,2018,Ather Energy,XUV400,BEV,Eligible,137,3238683,8,Medium,Premium,23640.02,BEV,0,1
100230,2018,Mahindra Electric,iQube,PHEV,Not Eligible,359,2455979,8,High,Premium,6841.17,PHEV,1,1
100231,2018,TVS Motor,S1 Pro,BEV,Eligible,224,2378236,8,Medium,Premium,10617.12,BEV,0,1
100232,2018,MG Motor India,S1 Pro,BEV,Not Eligible,428,2555743,8,High,Premium,5971.36,BEV,1,1
100233,2018,Mahindra Electric,S1 Pro,BEV,Eligible,232,1996413,8,Medium,Premium,8605.23,BEV,0,1
100234,2018,Ola Electric,S1 Pro,BEV,Eligible,245,2547608,8,Medium,Premium,10398.4,BEV,0,1
100235,2018,Ather Energy,450X,BEV,Eligible,151,4300074,8,Medium,Premium,28477.31,BEV,0,1
100236,2018,MG Motor India,Kona EV,BEV,Eligible,445,1288590,8,High,Premium,2895.71,BEV,1,1
100237,2018,Ather Energy,Nexon EV,PHEV,Eligible,181,3443016,8,Medium,Premium,19022.19,PHEV,0,1
100238,2018,TVS Motor,Nexon EV,BEV,Eligible,456,3442637,8,High,Premium,7549.64,BEV,1,1
100239,2018,Hyundai EV,S1 Pro,BEV,Not Eligible,281,2678599,8,High,Premium,9532.38,BEV,0,1
100240,2018,MG Motor India,Nexon EV,BEV,Eligible,493,2168300,8,High,Premium,4398.17,BEV,1,1
100241,2018,Hyundai EV,Atto 3,BEV,Eligible,201,4258705,8,Medium,Premium,21187.59,BEV,0,1
100242,2018,Tata Motors,iQube,BEV,Not Eligible,202,2343717,8,Medium,Premium,11602.56,BEV,0,1
100243,2018,MG Motor India,S1 Pro,PHEV,Eligible,257,2208507,8,High,Premium,8593.41,PHEV,0,1
100244,2018,Ola Electric,iQube,BEV,Eligible,393,3603381,8,High,Premium,9168.91,BEV,1,1
