DOL Vehicle ID,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP
100035,2018,TVS Motor,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,139,1273616
100036,2018,Ola Electric,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,88,3266696
100037,2018,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,240,2747191
100038,2018,Hyundai EV,iQube,Battery Electric Vehicle (BEV),Not Eligible,306,1812495
100039,2018,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,417,2026081
100040,2018,Tata Motors,S1 Pro,Battery Electric Vehicle (BEV),Eligible,368,4033837
100041,2018,Tata Motors,iQube,Battery Electric Vehicle (BEV),Eligible,450,3435893
100042,2018,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Eligible,517,4444839
100043,2018,Hyundai EV,Nexon EV,Battery Electric Vehicle (BEV),Eligible,396,1629903
100044,2018,TVS Motor,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,237,4351356
100045,2018,Ola Electric,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,428,2831760
100046,2018,Ola Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,332,2326388
100047,2018,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Eligible,302,2889173
100048,2018,TVS Motor,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,206,4127802
100049,2018,TVS Motor,Nexon EV,Battery Electric Vehicle (BEV),Eligible,325,1398863
100050,2018,Mahindra Electric,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,92,3217115
100051,2018,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,479,2432875
100052,2018,MG Motor India,ZS EV,Battery Electric Vehicle (BEV),Eligible,421,1018834
100053,2018,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,421,1979600
100054,2018,Mahindra Electric,S1 Pro,Battery Electric Vehicle (BEV),Eligible,343,2885588
100055,2018,BYD India,S1 Pro,Battery Electric Vehicle (BEV),Eligible,451,1849597
100056,2018,TVS Motor,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,185,3867197
100057,2018,Ola Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,308,4077945
100058,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Eligible,201,1703328
100059,2018,TVS Motor,450X,Battery Electric Vehicle (BEV),Eligible,351,1306716
100060,2018,Hyundai EV,450X,Battery Electric Vehicle (BEV),Eligible,155,3509305
100061,2018,Tata Motors,450X,Battery Electric Vehicle (BEV),Eligible,148,2648014
100062,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Not Eligible,297,3773817
100063,2018,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,102,1790617
100064,2018,MG Motor India,S1 Pro,Battery Electric Vehicle (BEV),Eligible,329,4418098
100065,2018,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,415,4412054
100066,2018,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,242,3949851
100067,2018,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Not Eligible,144,1986880
100068,2018,Ather Energy,450X,Battery Electric Vehicle (BEV),Eligible,381,3664673
100069,2018,BYD India,Nexon EV,Battery Electric Vehicle (BEV),Eligible,172,1538873
100070,2018,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,193,1057164
100071,2018,Tata Motors,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,243,3828009
100072,2018,Tata Motors,XUV400,Battery Electric Vehicle (BEV),Not Eligible,175,1300573
100073,2018,BYD India,450X,Battery Electric Vehicle (BEV),Not Eligible,434,3411720
100074,2018,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,476,966234
100075,2018,Ather Energy,Nexon EV,Battery Electric Vehicle (BEV),Eligible,344,4104891
100076,2018,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,452,1939458
100077,2018,Ather Energy,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,223,3286488
100078,2018,MG Motor India,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,201,1433636
100079,2018,MG Motor India,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,153,1113945
100080,2018,BYD India,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,249,1618216
100081,2018,Ather Energy,450X,Battery Electric Vehicle (BEV),Not Eligible,418,1976871
100082,2018,Ola Electric,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,296,1294540
100083,2018,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,261,926790
100084,2018,BYD India,Kona EV,Battery Electric Vehicle (BEV),Eligible,220,1690141
100085,2018,BYD India,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,466,2450284
100086,2018,Tata Motors,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,501,4288532
100087,2018,TVS Motor,450X,Battery Electric Vehicle (BEV),Not Eligible,228,2755567
100088,2018,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,99,1927512
100089,2018,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Eligible,452,3631573
100090,2018,Mahindra Electric,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,351,3542887
100091,2018,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Eligible,169,3361319
100092,2018,Ola Electric,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,271,1397562
100093,2018,Tata Motors,450X,Battery Electric Vehicle (BEV),Eligible,299,2832015
100094,2018,Ather Energy,Kona EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,335,1363556
100095,2018,TVS Motor,Kona EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,444,4214692
100096,2018,MG Motor India,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,346,2535156
100097,2018,Mahindra Electric,XUV400,Battery Electric Vehicle (BEV),Eligible,496,3859464
100098,2018,TVS Motor,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,276,3881726
100099,2018,BYD India,450X,Battery Electric Vehicle (BEV),Eligible,281,1063273
100100,2018,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,252,3931756
100101,2018,TVS Motor,iQube,Battery Electric Vehicle (BEV),Eligible,174,2086887
100102,2018,Hyundai EV,XUV400,Battery Electric Vehicle (BEV),Eligible,347,1540053
100103,2018,Mahindra Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,334,2885838
100104,2018,Hyundai EV,ZS EV,Battery Electric Vehicle (BEV),Eligible,182,3602757
100105,2018,MG Motor India,ZS EV,Battery Electric Vehicle (BEV),Eligible,414,1680722
100106,2018,Hyundai EV,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,109,970390
100107,2018,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,480,2459312
100108,2018,MG Motor India,Kona EV,Battery Electric Vehicle (BEV),Eligible,284,1528861
100109,2018,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,262,4257519
100110,2018,TVS Motor,S1 Pro,Battery Electric Vehicle (BEV),Eligible,274,2163455
100111,2018,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,356,2429297
100112,2018,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,312,3145131
100113,2018,Hyundai EV,ZS EV,Battery Electric Vehicle (BEV),Eligible,152,3020473
100114,2018,BYD India,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,398,2329551
100115,2018,Tata Motors,iQube,Battery Electric Vehicle (BEV),Not Eligible,332,2467438
100116,2018,MG Motor India,S1 Pro,Battery Electric Vehicle (BEV),Eligible,295,4290849
100117,2018,TVS Motor,XUV400,Battery Electric Vehicle (BEV),Eligible,190,3866422
100118,2018,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,306,3818258
100119,2018,MG Motor India,Atto 3,Battery Electric Vehicle (BEV),Eligible,310,2348021
100120,2018,Tata Motors,450X,Battery Electric Vehicle (BEV),Eligible,147,3529001
100121,2018,BYD India,S1 Pro,Battery Electric Vehicle (BEV),Eligible,113,1437198
100122,2018,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,85,1902163
100123,2018,TVS Motor,XUV400,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,308,1321240
100124,2018,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Eligible,83,1894653
100125,2018,BYD India,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,326,1318034
100126,2018,TVS Motor,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,299,2632682
100127,2018,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,514,3257821
100128,2018,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Eligible,379,3134693
100129,2018,Tata Motors,S1 Pro,Battery Electric Vehicle (BEV),Eligible,126,1754016
100130,2018,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Eligible,435,2316012
100131,2018,MG Motor India,iQube,Battery Electric Vehicle (BEV),Eligible,486,1303081
100132,2018,Ola Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,408,2885296
100133,2018,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,384,1507812
100134,2018,Hyundai EV,450X,Battery Electric Vehicle (BEV),Eligible,216,3343851
100135,2018,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,346,2383624
100136,2018,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Not Eligible,418,1579290
100137,2018,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,375,4236007
100138,2018,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Eligible,142,4195374
100139,2018,BYD India,Atto 3,Battery Electric Vehicle (BEV),Eligible,388,1853959
100140,2018,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Eligible,258,2438601
100141,2018,Tata Motors,S1 Pro,Battery Electric Vehicle (BEV),Eligible,490,3095875
100142,2018,Ather Energy,450X,Battery Electric Vehicle (BEV),Eligible,368,2314397
100143,2018,Ather Energy,XUV400,Battery Electric Vehicle (BEV),Eligible,197,2396972
100144,2018,TVS Motor,S1 Pro,Battery Electric Vehicle (BEV),Eligible,236,4327975
100145,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Eligible,174,4277778
100146,2018,Mahindra Electric,XUV400,Battery Electric Vehicle (BEV),Eligible,90,1288349
100147,2018,TVS Motor,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,381,3874058
100148,2018,MG Motor India,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,183,1130203
100149,2018,TVS Motor,S1 Pro,Battery Electric Vehicle (BEV),Eligible,372,1790695
100150,2018,BYD India,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,130,1398716
100151,2018,BYD India,Nexon EV,Battery Electric Vehicle (BEV),Eligible,484,2967801
100152,2018,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Eligible,450,2854727
100153,2018,Tata Motors,ZS EV,Battery Electric Vehicle (BEV),Eligible,196,1784377
100154,2018,Tata Motors,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,465,2074737
100155,2018,TVS Motor,XUV400,Battery Electric Vehicle (BEV),Eligible,330,1896530
100156,2018,Hyundai EV,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,256,1854652
100157,2018,Ola Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,416,1470451
100158,2018,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Eligible,439,1938896
100159,2018,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Eligible,519,3448434
100160,2018,Tata Motors,450X,Battery Electric Vehicle (BEV),Eligible,223,2566471
100161,2018,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,192,2499601
100162,2018,Tata Motors,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,438,2259490
100163,2018,Hyundai EV,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,166,2685910
100164,2018,TVS Motor,Nexon EV,Battery Electric Vehicle (BEV),Eligible,402,3502967
100165,2018,TVS Motor,Kona EV,Battery Electric Vehicle (BEV),Eligible,308,4380130
100166,2018,Mahindra Electric,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,367,1878039
100167,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Not Eligible,477,1668734
100168,2018,BYD India,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,226,3934735
100169,2018,Ola Electric,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,382,4068964
100170,2018,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,99,1438884
100171,2018,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,421,2883851
100172,2018,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Eligible,288,2632465
100173,2018,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Eligible,438,1972328
100174,2018,Ola Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,188,4302337
100175,2018,MG Motor India,iQube,Battery Electric Vehicle (BEV),Eligible,435,1088456
100176,2018,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,166,1473044
100177,2018,Tata Motors,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,247,4038145
100178,2018,BYD India,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,489,1263476
100179,2018,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Eligible,442,4237920
100180,2018,MG Motor India,450X,Battery Electric Vehicle (BEV),Not Eligible,375,3777450
100181,2018,BYD India,iQube,Battery Electric Vehicle (BEV),Not Eligible,177,1608662
100182,2018,Ather Energy,iQube,Battery Electric Vehicle (BEV),Eligible,115,4251278
100183,2018,Mahindra Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,444,2511754
100184,2018,Ather Energy,Nexon EV,Battery Electric Vehicle (BEV),Eligible,96,3838496
100185,2018,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,308,2558987
100186,2018,MG Motor India,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,123,4291418
100187,2018,MG Motor India,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,382,4197291
100188,2018,TVS Motor,Atto 3,Battery Electric Vehicle (BEV),Eligible,294,2920836
100189,2018,MG Motor India,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,138,2460473
100190,2018,TVS Motor,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,361,3315572
100191,2018,BYD India,450X,Battery Electric Vehicle (BEV),Not Eligible,450,3339855
100192,2018,MG Motor India,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,502,1181570
100193,2018,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Eligible,187,2831451
100194,2018,Mahindra Electric,iQube,Battery Electric Vehicle (BEV),Not Eligible,443,1596358
100195,2018,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Eligible,289,3635264
100196,2018,MG Motor India,Atto 3,Battery Electric Vehicle (BEV),Eligible,113,4171069
100197,2018,TVS Motor,iQube,Battery Electric Vehicle (BEV),Eligible,118,3890893
100198,2018,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Eligible,264,3816623
100199,2018,MG Motor India,Kona EV,Battery Electric Vehicle (BEV),Eligible,438,1150195
100200,2018,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Eligible,237,2114449
100201,2018,Tata Motors,iQube,Battery Electric Vehicle (BEV),Eligible,152,1297710
100202,2018,Ola Electric,XUV400,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,140,1731460
100203,2018,TVS Motor,XUV400,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,305,1079352
100204,2018,TVS Motor,S1 Pro,Battery Electric Vehicle (BEV),Eligible,389,2252564
100205,2018,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,504,1926553
100206,2018,Ather Energy,Kona EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,256,3830184
100207,2018,Ather Energy,XUV400,Battery Electric Vehicle (BEV),Not Eligible,257,3941341
100208,2018,Hyundai EV,450X,Battery Electric Vehicle (BEV),Eligible,168,1615080
100209,2018,Mahindra Electric,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,202,3514235
100210,2018,MG Motor India,S1 Pro,Battery Electric Vehicle (BEV),Eligible,119,1226916
100211,2018,BYD India,Kona EV,Battery Electric Vehicle (BEV),Eligible,468,4157945
100212,2018,TVS Motor,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,160,1025991
100213,2018,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,119,2110209
100214,2018,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,415,1968199
100215,2018,TVS Motor,Nexon EV,Battery Electric Vehicle (BEV),Eligible,124,1784056
100216,2018,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Eligible,314,2522572
100217,2018,MG Motor India,iQube,Battery Electric Vehicle (BEV),Eligible,237,3039686
100218,2018,Hyundai EV,450X,Battery Electric Vehicle (BEV),Eligible,374,4121441
100219,2018,Tata Motors,Nexon EV,Battery Electric Vehicle (BEV),Eligible,302,3987201
100220,2018,TVS Motor,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,153,3477640
100221,2018,Ola Electric,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,357,3928163
100222,2018,Ola Electric,XUV400,Battery Electric Vehicle (BEV),Eligible,91,3323184
100223,2018,MG Motor India,iQube,Battery Electric Vehicle (BEV),Not Eligible,385,4476511
100224,2018,Mahindra Electric,XUV400,Battery Electric Vehicle (BEV),Not Eligible,86,1743804
100225,2018,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,509,4189825
100226,2018,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Eligible,364,2286652
100227,2018,BYD India,Kona EV,Battery Electric Vehicle (BEV),Eligible,106,3770096
100228,2018,Ather Energy,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,436,4467546
100229,2018,Ather Energy,XUV400,Battery Electric Vehicle (BEV),Eligible,137,3238683
100230,2018,Mahindra Electric,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,359,2455979
100231,2018,TVS Motor,S1 Pro,Battery Electric Vehicle (BEV),Eligible,224,2378236
100232,2018,MG Motor India,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,428,2555743
100233,2018,Mahindra Electric,S1 Pro,Battery Electric Vehicle (BEV),Eligible,232,1996413
100234,2018,Ola Electric,S1 Pro,Battery Electric Vehicle (BEV),Eligible,245,2547608
100235,2018,Ather Energy,450X,Battery Electric Vehicle (BEV),Eligible,151,4300074
100236,2018,MG Motor India,Kona EV,Battery Electric Vehicle (BEV),Eligible,445,1288590
100237,2018,Ather Energy,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,181,3443016
100238,2018,TVS Motor,Nexon EV,Battery Electric Vehicle (BEV),Eligible,456,3442637
100239,2018,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,281,2678599
100240,2018,MG Motor India,Nexon EV,Battery Electric Vehicle (BEV),Eligible,493,2168300
100241,2018,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Eligible,201,4258705
100242,2018,Tata Motors,iQube,Battery Electric Vehicle (BEV),Not Eligible,202,2343717
100243,2018,MG Motor India,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,257,2208507
100244,2018,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,393,3603381
100245,2018,Ola Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,91,1041398
100246,2018,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,317,1494604
100247,2018,Ola Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,290,2117060
100248,2018,MG Motor India,XUV400,Battery Electric Vehicle (BEV),Eligible,172,2751317
100249,2018,Tata Motors,Kona EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,103,3857715
100250,2018,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Eligible,129,4424272
100251,2018,MG Motor India,450X,Battery Electric Vehicle (BEV),Not Eligible,307,2516449
100252,2018,BYD India,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,265,1990805
100253,2018,MG Motor India,iQube,Battery Electric Vehicle (BEV),Eligible,304,3942146
100254,2018,BYD India,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,413,2243862
100255,2018,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,460,1522605
100256,2018,MG Motor India,Atto 3,Battery Electric Vehicle (BEV),Eligible,458,3582712
100257,2018,Ather Energy,450X,Battery Electric Vehicle (BEV),Eligible,503,1248619
100258,2018,MG Motor India,XUV400,Battery Electric Vehicle (BEV),Eligible,159,1942377
100259,2018,Tata Motors,Nexon EV,Battery Electric Vehicle (BEV),Eligible,343,2365291
100260,2018,Ola Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,254,3986308
100261,2018,TVS Motor,S1 Pro,Battery Electric Vehicle (BEV),Eligible,446,1360494
100262,2018,Ola Electric,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,372,1253299
100263,2018,Hyundai EV,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,404,4206656
100264,2018,MG Motor India,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,295,2707610
100265,2018,MG Motor India,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,302,2267223
100266,2018,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,205,2243276
100267,2018,BYD India,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,208,2449302
100268,2018,BYD India,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,272,1864918
100269,2018,Hyundai EV,ZS EV,Battery Electric Vehicle (BEV),Eligible,105,4082215
100270,2018,Mahindra Electric,iQube,Battery Electric Vehicle (BEV),Not Eligible,368,1001376
100271,2018,Ather Energy,iQube,Battery Electric Vehicle (BEV),Not Eligible,169,3557499
100272,2018,BYD India,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,168,3632719
100273,2018,Mahindra Electric,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,181,3482117
100274,2018,Ather Energy,Nexon EV,Battery Electric Vehicle (BEV),Eligible,444,2838762
100275,2018,BYD India,Nexon EV,Battery Electric Vehicle (BEV),Eligible,144,1976299
100276,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Eligible,384,4185727
100277,2018,MG Motor India,XUV400,Battery Electric Vehicle (BEV),Eligible,189,2402025
100278,2018,Ather Energy,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,491,1979924
100279,2018,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,379,1471107
100280,2018,Hyundai EV,ZS EV,Battery Electric Vehicle (BEV),Eligible,506,3710860
100281,2018,Ola Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,282,1723346
100282,2018,Hyundai EV,XUV400,Battery Electric Vehicle (BEV),Eligible,460,1605475
100283,2018,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Eligible,370,4167727
100284,2018,MG Motor India,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,169,4303096
100285,2018,MG Motor India,Atto 3,Battery Electric Vehicle (BEV),Eligible,150,2430814
100286,2018,MG Motor India,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,453,2310822
100287,2018,MG Motor India,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,454,2145077
100288,2018,Tata Motors,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,89,2707992
100289,2018,MG Motor India,XUV400,Battery Electric Vehicle (BEV),Not Eligible,129,3102263
100290,2018,Tata Motors,ZS EV,Battery Electric Vehicle (BEV),Eligible,518,3781777
